video_id,title,viewCount,likeCount,commentCount,publishedAt
MPECDuOUBEY,Why you should start YouTube even if no one watches…,42987,2510,338,2025-04-11T15:00:36Z
jP1uwBcpUeE,Watch this if you feel like you’re behind in life,59911,2264,114,2025-04-04T13:01:13Z
w0zO6Jgjw6U,Honest YouTube Advice for 45 Minutes Straight (2025),43781,1457,174,2025-03-28T16:18:00Z
1G2ltEiSYBw,How to Make More Money in your Job,101827,3810,262,2025-03-25T16:40:00Z
6T-mgthXWzM,Watch this if you never have enough time,135197,4887,189,2025-03-18T14:00:09Z
W-gYpWSGBmc,What to do if you hate your job,177738,5144,261,2025-03-11T14:00:36Z
vmH3seddlPE,Why You Feel Lost (And What to Do About it),200211,7748,294,2025-03-04T14:30:33Z
qDFdALGJ4dA,How to Actually Make Money Online in 2025 - Case Study,309008,9395,357,2025-02-28T15:45:05Z
WpJOg7N54Qw,How to finally start your first business in 2025,159869,5583,269,2025-02-25T14:30:30Z
VpN78TXMSUM,How I Manage My Time - The Triage System,223157,7767,257,2025-02-18T17:15:01Z
Qc6pdR8BhFA,How I use AI to save 10+ hours per week,195140,6544,304,2025-02-14T18:15:01Z
8urzOH10LEM,How to Stop Procrastinating and Finally Take Action,355500,14279,419,2025-02-07T18:04:47Z
eJgcxYMhdoU,This Book Changed How I Think about Time,180101,5307,181,2025-02-04T14:00:45Z
NWfIrmIgaCU,Why Everyone Needs a Personal Website,111350,4053,211,2025-01-31T14:00:24Z
QOvIzsn7fD8,The Wheel of Life 🎡,35927,2221,35,2025-01-28T10:00:28Z
RlzV8EnEwc0,The 5 Key Components for Financial Freedom,283762,8471,330,2025-01-24T15:00:41Z
U7JNdMbj1zM,You're Not Behind: How to Change Your Life in 90 Days,408029,14506,364,2025-01-21T14:00:38Z
hOoka6WN0L0,How to Hack Motivation: The 15-Minute Rule,41214,2944,14,2025-01-21T10:00:49Z
qh75NllzOlU,How to Actually Get in Shape in 2025 - My Evidence-Based Guide,126843,3455,206,2025-01-17T14:00:59Z
H-ykVthyNTc,My Honest Advice to Anyone Starting YouTube in 2025,146529,5120,534,2025-01-10T14:00:26Z
GgSNvCY-AcY,My honest advice to someone who wants passive income,477146,10320,511,2024-12-27T13:00:17Z
3KLE_xwbGqg,19 Incredible Books to Read in 2025,210902,6095,275,2024-12-24T13:00:06Z
WONRS7BLh4g,How To Actually Achieve Your Goals in 2025 (Evidence-Based),2477862,87996,1145,2024-12-20T13:00:29Z
sYaSJpIGzu8,How to Change Your Life with Deep Work (My System),563637,15434,369,2024-12-17T13:30:36Z
W2afI0n8pUk,6 Habits to Make 2025 Your Best Year Yet,1008623,32662,666,2024-12-12T11:00:37Z
gP-C_utcBdY,This will change your life!,56725,2745,33,2024-12-08T13:00:47Z
vuKFwdJF5wU,Intrinsic vs. Instrumental Motivation 🚀,36916,1665,19,2024-12-07T13:01:09Z
avih_knbVjA,Wanting 🍎,40769,2298,17,2024-12-05T13:00:08Z
0mE919RsXOc,The delicate balance between having enough and wanting more ⚖️,26177,1015,10,2024-12-04T13:00:01Z
suOfjK35-8E,"5 Simple Steps to Earn $10,000 Writing Online",178410,5512,226,2024-12-03T13:01:08Z
IFggxxz3gcs,The Second Mountain ⛰️,27528,1705,16,2024-12-03T13:00:19Z
RH7REzcVjMI,How to Build a Business Part-Time,125976,4176,207,2024-11-29T15:15:01Z
TIqQmKapBaY,13 Brutally Honest Lessons to Grow on YouTube in 2025,114800,4537,357,2024-11-26T17:00:23Z
ae9qy-7lBmo,How I Built a New $1m Business in 12 Months,162494,4097,442,2024-11-22T14:00:01Z
8-WiFvM15-0,How I Built A YouTube Studio in a Tiny Room,374249,10975,612,2024-11-19T17:30:01Z
